trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.55, 'e': 0.8317825373503189}",30,8,-12.491103494208694,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.55, 'e': 0.8301189722756183}",30,0,-124.05786919517914,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
95,False,"{'a': 0.55, 'e': 0.828458734331067}",20,9,-98.55876429692653,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
96,False,"{'a': 0.55, 'e': 0.8268018168624048}",25,0,-107.90366322170824,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",1
97,False,"{'a': 0.55, 'e': 0.82514821322868}",20,0,-21.66043293627441,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.55, 'e': 0.8234979168022227}",20,0,-108.22686780935004,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.55, 'e': 0.8218509209686182}",25,9,10.122533346677953,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.55, 'e': 0.820207219126681}",30,6,-18.54605566402246,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.55, 'e': 0.8185668046884277}",25,0,-14.188583002731965,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.55, 'e': 0.8169296710790508}",20,0,-44.09220678261241,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.55, 'e': 0.8152958117368927}",30,0,-249.74660483065693,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 6}",0
104,False,"{'a': 0.55, 'e': 0.8136652201134189}",25,0,-67.84530180883061,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
105,False,"{'a': 0.55, 'e': 0.8120378896731921}",20,0,-116.792637281744,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
106,False,"{'a': 0.55, 'e': 0.8104138138938457}",25,0,-12.925886514166663,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.55, 'e': 0.808792986266058}",25,0,-41.67479857548807,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
108,False,"{'a': 0.55, 'e': 0.8071754002935259}",20,11,-3.2917619105209006,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.55, 'e': 0.8055610494929388}",20,0,-64.15788220093987,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
110,False,"{'a': 0.55, 'e': 0.803949927393953}",25,0,-114.62479130295793,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
111,False,"{'a': 0.55, 'e': 0.8023420275391651}",20,0,-102.40145862686262,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.55, 'e': 0.8007373434840868}",25,3,-71.24303243980232,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
113,False,"{'a': 0.55, 'e': 0.7991358687971185}",20,7,-24.761979536218508,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
114,False,"{'a': 0.55, 'e': 0.7975375970595243}",25,0,-176.96068875379302,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
115,False,"{'a': 0.55, 'e': 0.7959425218654053}",20,0,-51.99598892074946,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.55, 'e': 0.7943506368216744}",25,0,-116.04872495320375,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
117,False,"{'a': 0.55, 'e': 0.7927619355480311}",30,0,-162.34762563269655,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
118,False,"{'a': 0.55, 'e': 0.7911764116769351}",25,0,-118.72322456401967,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
119,False,"{'a': 0.55, 'e': 0.7895940588535811}",20,0,-6.868553379205245,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.55, 'e': 0.788014870735874}",20,0,-14.119871678833686,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
